순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
1,82년생 김지영 :조남주 장편소설 ,지은이: 조남주,민음사,2016,,9.78894E+12,4810,813.7,"2,280"
2,여행의 이유 :김영하 산문 ,지은이: 김영하,문학동네,2019,,9.78895E+12,3810,816.62,"2,079"
3,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,,9.78897E+12,3830,833.6,"1,887"
4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,7,9.79116E+12,74830,833.6,"1,780"
5,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,4,9.78894E+12,74830,833.6,"1,732"
6,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,2,9.78894E+12,74830,833.6,"1,721"
7,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,1,9.78894E+12,74830,833.6,"1,703"
7,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,트롤,아이세움,2017,5,9.79116E+12,74830,833.8,"1,703"
9,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,3,9.78894E+12,74830,833.6,"1,696"
10,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,8,9.79116E+12,74830,833.6,"1,692"
11,아몬드손원평 장편소설,손원평,창비,2017,,9.78894E+12,3810,813.7,"1,639"
12,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,2016,6,9.79116E+12,74830,833.6,"1,634"
13,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ,저자: 야쿠마루 가쿠 ;옮긴이: 김성미,Book plaza(북플라자),2017,,9.789E+12,3830,833.6,"1,608"
14,"(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다 ",임홍택 지음,Whale Books(웨일북),2018,,9.79119E+12,3320,325.3,"1,580"
15,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,1,9.78897E+12,4810,813.62,"1,556"
16,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱,김영사,2015,,9.78893E+12,3900,909,"1,546"
17,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다 ,지은이: 이기주,말글터,2016,,9.7912E+12,3810,818,"1,530"
18,공부머리 독서법 :실현 가능하고 지속 가능한 독서교육의 모든 것 ,최승필 지음,책구루,2018,,9.7912E+12,3370,29.8,"1,471"
19,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,1,9.7912E+12,74910,911,"1,419"
20,직지 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2019,1,9.78897E+12,4810,813.62,"1,405"
21,나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ,글·그림: 김수현,마음의숲,2016,,9.79119E+12,3810,818,"1,379"
22,직지 :김진명 장편소설 ,지은이: 김진명,쌤앤파커스,2019,2,9.78897E+12,4810,813.62,"1,376"
23,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,9,9.79119E+12,74910,911,"1,374"
24,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,,9.79116E+12,3190,181.845,"1,357"
25,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 ,"지은이: 한스 로슬링,옮긴이: 이창신",김영사,2019,,9.78893E+12,3300,331.1,"1,342"
26,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,2,9.7912E+12,74910,911,"1,341"
27,"진이, 지니 :정유정 장편소설 ",지은이: 정유정,은행나무,2019,,9.79119E+12,3810,813.7,"1,322"
28,죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이 ,지은이: 백세희,흔,2018,,9.7912E+12,3810,818,"1,318"
29,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,5,9.7912E+12,74910,911,"1,311"
30,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,8,9.79119E+12,74910,911,"1,307"
31,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,4,9.7912E+12,74910,911,"1,305"
32,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,2,9.78897E+12,4810,813.62,"1,300"
33,선량한 차별주의자 ,김지혜 지음,창비,2019,,9.78894E+12,3300,334,"1,294"
34,당신이 옳다 :정혜신의 적정심리학 ,지은이: 정혜신,해냄,2018,,9.78897E+12,3180,189,"1,290"
35,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,3,9.7912E+12,74910,911,"1,286"
36,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,10,9.79119E+12,74910,911,"1,285"
37,(설민석의) 삼국지 :누구나 쉽게 시작하고 모두가 빠져드는 이야기 ,지은이: 설민석,세계사,2019,1,9.78893E+12,4000,823.5,"1,282"
38,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,7,9.79119E+12,74910,911,"1,274"
39,설민석의 조선왕조실록 :대한민국이 선택한 역사 이야기 ,지은이: 설민석,세계사,2016,,9.78893E+12,3910,911.052,"1,260"
40,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,2017,6,9.79119E+12,74910,911,"1,257"
41,천년의 질문 :조정래 장편소설 ,저자: 조정래,해냄,2019,3,9.78897E+12,4810,813.62,"1,254"
